S100A8|CAGA|MRP8 S100A9|CAGB|MRP14
DVL1 TCTEL1
PPM1A DVL3
PPM1A CTNNB1
DVL3 CTNNB1
CTNNB1 DVL3
DVL3 DVL1
DVL3 DVL1
DVL3 DVL1
DVL1 DVL1
AHR RB1
RB1 AHR
APCL MAPRE1
MAPRE3 APCL
APCL MAPRE3
APCL MAPRE3
MAPRE3 APCL
MAPRE1 APCL
APCL MAPRE3
VIL2 ICAM-2
ICAM-2 VIL2
ICAM-2 VIL2
ICAM-2 VIL2
ICAM-2 VIL2
ICAM-1 VIL2
ICAM-1 VIL2
PTEN hdlg-1
hdlg-1 PTEN
CHUK PRKR
FHL2 MCM7
IRE1b TRAF2|TRAP3
TRAF2|TRAP3 IRE1b
TRAF2|TRAP3 IRE1b
TRAF2|TRAP3 IRE1a
FHL2 MCM7
FHL2 MCM7
PTPN11|PTP2C|SHPTP2 SNT-1|FRS2
PTPN11|PTP2C|SHPTP2 SNT-1|FRS2
SNT-1|FRS2 PTPN11|PTP2C|SHPTP2
FANCA|FAA FANCG|XRCC9
FANCA|FAA FANCA|FAA
FANCG|XRCC9 FANCG|XRCC9
FANCA|FAA FANCG|XRCC9
FANCA|FAA FANCG|XRCC9
FANCA|FAA FANCG|XRCC9
FANCG|XRCC9 FANCG|XRCC9
FANCG|XRCC9 FANCG|XRCC9
TP73|P73 EP300|P300
EP300|P300 TP73|P73
EP300|P300 TP73|P73
EP300|P300 TP73|P73
EP300|P300 TP73|P73
EP300|P300 TP53
TP73|P73 EP300|P300
EP300|P300 TP53
CBP TP53
EP300|P300 TP73|P73
CBP TP73|P73
TP73|P73 CBP
TP73|P73 EP300|P300
ITGB1 CD9|MIC3
CD9|MIC3 ITGB1
CD9|MIC3 ITGA2
CD9|MIC3 ITGA3
CD9|MIC3 ITGA5|FNRA
FANCF FANCG|XRCC9
FANCG|XRCC9 FANCF
FANCC FANCE
FANCE FANCC
FANCE FANCA|FAA
FANCE FANCG|XRCC9
FANCG|XRCC9 FANCG|XRCC9
FANCA|FAA FANCG|XRCC9
FANCG|XRCC9 FANCA|FAA
TAF4|TAF4A|TAF2C1|TAF2C|TAFII135|TAFII130 TAF12|TAF2J|TAFII20|TAF15
TAF4|TAF4A|TAF2C1|TAF2C|TAFII135|TAFII130 TAF12|TAF2J|TAFII20|TAF15
TAF4|TAF4A|TAF2C1|TAF2C|TAFII135|TAFII130 TAF12|TAF2J|TAFII20|TAF15
TAF12|TAF2J|TAFII20|TAF15 TAF4|TAF4A|TAF2C1|TAF2C|TAFII135|TAFII130
FANCA|FAA FANCG|XRCC9
FANCG|XRCC9 FANCF
FANCE FANCC
REV3L MAD2L2
REV3L MAD2L2
REV3L MAD2L2
REV3L MAD2L2
REV3L MAD2L2
MAD2L2 REV3L
MAD2L1 MAD2L2
MAD2L2 MAD2L1
MAD2L1 REV3L
MAD2L1 MAD1
PTPN6|PTP1C|HCP PILRA
PTPN6|PTP1C|HCP PILRA
PILRA PTPN6|PTP1C|HCP
PILRA PTPN6|PTP1C|HCP
PILRA PTPN6|PTP1C|HCP
PILRA PTPN6|PTP1C|HCP
BMX RUFY1
RUFY1 BMX
BMX RUFY1
BMX RUFY2
BMX RUFY1
BMX RUFY1
BMX RUFY1
BMX RUFY1
BMX RUFY1
MAGOH RBM8B
MAGOH RBM8B
MAGOH RBM8B
RBM8B MAGOH
FRAP1|FRAP YWHAQ
YWHAQ FRAP1|FRAP
FRAP1|FRAP YWHAQ
FRAP1|FRAP YWHAQ
FRAP1|FRAP YWHAQ
FRAP1|FRAP YWHAQ
FRAP1|FRAP YWHAQ
FRAP1|FRAP YWHAQ
VAV1|VAV RHGDIB|GDID4
RHGDIB|GDID4 VAV1|VAV
VAV1|VAV RHGDIB|GDID4
VAV1|VAV RHGDIB|GDID4
RHGDIB|GDID4 VAV1|VAV
RHGDIB|GDID4 VAV1|VAV
ARHGDIA|GDIA1 VAV1|VAV
VAV1|VAV ARHGDIA|GDIA1
RAD51|RAD51A UBL1
RAD51|RAD51A UBE2I
RAD51|RAD51A UBE2I
RAD51|RAD51A RAD52
RAD51|RAD51A UBL1
RAD52 RAD51|RAD51A
UBL1 RAD51|RAD51A
UBL1 RAD52
RAD52 UBE2I
RAD52 UBL1
UBL1 UBE2I
PML DAXX|BING2
PML DAXX|BING2
PML|RARA|NR1B1 DAXX|BING2
PML DAXX|BING2
DAXX|BING2 PML
HDAC1|RPD3L1 DAXX|BING2
HDAC1|RPD3L1 DAXX|BING2
DAXX|BING2 HDAC1|RPD3L1
HDAC2 DAXX|BING2
HDAC3 DAXX|BING2
KDR PLCG1
KDR PLCG1
KDR PLCG1
KDR PLCG1
KDR PLCG1
KDR PLCG1
KDR PLCG1
KDR PLCG1
KDR PLCG1
KDR PLCG1
KDR PLCG1
KDR PLCG1
KDR PLCG1
SP1|TSFP1 ESR2|NR3A2|ESTRB
SP1|TSFP1 ESR2|NR3A2|ESTRB
SP1|TSFP1 ESR2|NR3A2|ESTRB
CD45 CD45
ARNT HEY2|CHF1
ARNT HEY1|HESR1|CHF2
DRD2 FLNA
DRD2 FLNA
DRD2 FLNA
DRD3 FLNA
DRD3 FLNA
MITF UBE2I
UBE2I MITF
